Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Dec  9 12:25:32 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       virtex_55_map.ncd
OUTPUT FILE:      virtex_55_pad.txt
PART TYPE:        xc4vsx55
SPEED GRADE:      -12
PACKAGE:          ff1148

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A2        |           |         |VCCO_6              |         |           |6             |          |         |           |         |any******|          |           |                |
|A3        |           |IOBS     |IO_L20N_VREF_6      |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A4        |           |IOBM     |IO_L20P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A5        |           |IOBM     |IO_L22P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A6        |           |IOBM     |IO_L12P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A7        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|A8        |           |IOBM     |IO_L10P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A9        |           |IOBS     |IO_L15N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A10       |           |IOBM     |IO_L15P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|A11       |           |IOBM     |IO_L3P_6            |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
